run,nf1,k1,p1,nf2,k2,p2,f1_score,val_loss,val_accuracy,bn1,dropout1,bn2,dropout2,bn3
2,16,"(2, 2)","(2, 2)",8,"(2, 2)","(2, 2)",0.99359,0.04016,0.98632,0,0.397,0,0.384,0
3,16,"(2, 2)","(2, 2)",8,"(5, 5)","(2, 2)",0.99359,0.21352,0.93512,0,0.239,1,0.081,0
4,16,"(2, 2)","(2, 2)",8,"(8, 8)","(2, 2)",0.99817,0.03329,0.99088,0,0.344,0,0.133,0
5,16,"(5, 5)","(2, 2)",8,"(2, 2)","(2, 2)",0.99634,0.02697,0.98885,0,0.2,0,0.477,0
6,16,"(5, 5)","(2, 2)",8,"(5, 5)","(2, 2)",0.99451,0.34941,0.90978,0,0.404,0,0.002,0
7,16,"(5, 5)","(2, 2)",8,"(8, 8)","(2, 2)",0.99267,1.22788,0.73543,1,0.363,0,0.361,1
8,16,"(8, 8)","(2, 2)",8,"(2, 2)","(2, 2)",0.98993,0.07768,0.98277,0,0.193,0,0.293,1
9,16,"(8, 8)","(2, 2)",8,"(5, 5)","(2, 2)",0.99359,0.52918,0.88393,1,0.009,0,0.173,1
10,16,"(8, 8)","(2, 2)",8,"(8, 8)","(2, 2)",0.99542,0.03157,0.99088,0,0.134,1,0.16,1
11,24,"(2, 2)","(2, 2)",12,"(2, 2)","(2, 2)",0.99908,0.04243,0.9853,1,0.281,0,0.15,0
12,24,"(2, 2)","(2, 2)",12,"(5, 5)","(2, 2)",0.99542,0.03211,0.98885,1,0.455,1,0.334,1
13,24,"(2, 2)","(2, 2)",12,"(8, 8)","(2, 2)",0.99725,0.08075,0.96908,1,0.241,1,0.212,0
14,24,"(5, 5)","(2, 2)",12,"(2, 2)","(2, 2)",0.99817,0.02971,0.99189,0,0.312,0,0.016,0
15,24,"(5, 5)","(2, 2)",12,"(5, 5)","(2, 2)",0.98993,0.03553,0.98834,0,0.412,1,0.298,1
16,24,"(5, 5)","(2, 2)",12,"(8, 8)","(2, 2)",0.99725,0.04046,0.9853,1,0.175,0,0.212,0
17,24,"(8, 8)","(2, 2)",12,"(2, 2)","(2, 2)",0.99359,0.07529,0.9701,0,0.382,1,0.396,1
18,24,"(8, 8)","(2, 2)",12,"(5, 5)","(2, 2)",0.97892,0.06604,0.97871,1,0.427,1,0.361,0
19,24,"(8, 8)","(2, 2)",12,"(8, 8)","(2, 2)",0.99634,0.03027,0.99189,0,0.342,1,0.332,1
20,32,"(2, 2)","(2, 2)",16,"(2, 2)","(2, 2)",0.99542,0.02579,0.98986,0,0.34,0,0.463,0
21,32,"(2, 2)","(2, 2)",16,"(5, 5)","(2, 2)",0.99086,0.05313,0.98479,0,0.053,0,0.237,1
22,32,"(2, 2)","(2, 2)",16,"(8, 8)","(2, 2)",0.95044,0.22475,0.89407,0,0.488,1,0.493,0
23,32,"(5, 5)","(2, 2)",16,"(2, 2)","(2, 2)",0.99817,0.01408,0.99442,0,0.008,0,0.076,1
24,32,"(5, 5)","(2, 2)",16,"(5, 5)","(2, 2)",0.99271,0.04683,0.97973,1,0.372,0,0.142,0
25,32,"(5, 5)","(2, 2)",16,"(8, 8)","(2, 2)",0.92575,0.16284,0.94374,1,0.005,1,0.148,1
26,32,"(8, 8)","(2, 2)",16,"(2, 2)","(2, 2)",0.99817,0.00547,0.99797,0,0.142,1,0.115,1
27,32,"(8, 8)","(2, 2)",16,"(5, 5)","(2, 2)",0.93631,1.34853,0.69285,1,0.397,1,0.277,0
28,32,"(8, 8)","(2, 2)",16,"(8, 8)","(2, 2)",0.99634,0.12929,0.95895,1,0.204,1,0.23,0
29,48,"(2, 2)","(2, 2)",24,"(2, 2)","(2, 2)",0.99908,0.03234,0.9924,1,0.309,0,0.461,1
30,48,"(2, 2)","(2, 2)",24,"(5, 5)","(2, 2)",0.99634,0.02499,0.9924,1,0.13,0,0.269,0
31,48,"(2, 2)","(2, 2)",24,"(8, 8)","(2, 2)",0.95138,0.19714,0.92093,0,0.109,1,0.176,0
32,48,"(5, 5)","(2, 2)",24,"(2, 2)","(2, 2)",0.98076,0.53907,0.86214,1,0.292,1,0.278,1
33,48,"(5, 5)","(2, 2)",24,"(5, 5)","(2, 2)",0.99359,0.02552,0.98885,0,0.485,0,0.149,0
34,48,"(5, 5)","(2, 2)",24,"(8, 8)","(2, 2)",0.83924,0.52509,0.86974,1,0.094,1,0.3,0
35,48,"(8, 8)","(2, 2)",24,"(2, 2)","(2, 2)",0.99725,0.02573,0.99088,1,0.313,1,0.266,1
36,48,"(8, 8)","(2, 2)",24,"(5, 5)","(2, 2)",0.99542,0.04075,0.98885,0,0.049,0,0.341,1
37,48,"(8, 8)","(2, 2)",24,"(8, 8)","(2, 2)",0.99179,0.12429,0.95388,1,0.077,1,0.479,1
38,64,"(2, 2)","(2, 2)",32,"(2, 2)","(2, 2)",0.99176,0.11636,0.96249,0,0.039,1,0.32,0
39,64,"(2, 2)","(2, 2)",32,"(5, 5)","(2, 2)",0.9881,0.03329,0.99037,0,0.287,0,0.451,0
40,64,"(2, 2)","(2, 2)",32,"(8, 8)","(2, 2)",0.99176,0.0591,0.98277,0,0.265,1,0.145,0
41,64,"(5, 5)","(2, 2)",32,"(2, 2)","(2, 2)",0.99908,0.03475,0.9924,0,0.273,0,0.016,0
42,64,"(5, 5)","(2, 2)",32,"(5, 5)","(2, 2)",0.99817,0.00639,0.99747,0,0.156,0,0.407,0
43,64,"(5, 5)","(2, 2)",32,"(8, 8)","(2, 2)",0.98625,0.07193,0.97466,0,0.052,1,0.491,0
44,64,"(8, 8)","(2, 2)",32,"(2, 2)","(2, 2)",0.97068,0.46457,0.82261,1,0.286,1,0.255,1
45,64,"(8, 8)","(2, 2)",32,"(5, 5)","(2, 2)",0.99725,0.02144,0.9929,1,0.417,0,0.483,0
46,64,"(8, 8)","(2, 2)",32,"(8, 8)","(2, 2)",1.0,0.00729,0.99696,0,0.152,1,0.103,0
47,16,"(2, 2)","(2, 2)",8,"(2, 2)","(3, 3)",0.99177,0.06235,0.97314,0,0.284,0,0.008,1
48,16,"(2, 2)","(2, 2)",8,"(5, 5)","(3, 3)",0.98351,0.04528,0.98632,0,0.388,1,0.449,0
49,16,"(2, 2)","(2, 2)",8,"(8, 8)","(3, 3)",0.98168,0.10565,0.95641,1,0.373,0,0.311,0
50,16,"(5, 5)","(2, 2)",8,"(2, 2)","(3, 3)",0.99176,0.01969,0.99544,1,0.344,0,0.457,0
51,16,"(5, 5)","(2, 2)",8,"(5, 5)","(3, 3)",0.99725,0.01078,0.99595,0,0.243,1,0.161,0
52,16,"(5, 5)","(2, 2)",8,"(8, 8)","(3, 3)",0.97527,0.20928,0.90826,0,0.461,1,0.005,0
53,16,"(8, 8)","(2, 2)",8,"(2, 2)","(3, 3)",0.99451,0.10042,0.96706,1,0.234,0,0.293,1
54,16,"(8, 8)","(2, 2)",8,"(5, 5)","(3, 3)",0.98717,0.84211,0.79676,1,0.377,1,0.184,0
55,16,"(8, 8)","(2, 2)",8,"(8, 8)","(3, 3)",0.99451,0.09987,0.96553,0,0.181,1,0.31,0
56,24,"(2, 2)","(2, 2)",12,"(2, 2)","(3, 3)",0.99725,0.03139,0.98885,0,0.221,0,0.019,0
57,24,"(2, 2)","(2, 2)",12,"(5, 5)","(3, 3)",0.96154,0.12468,0.95692,0,0.138,1,0.489,1
58,24,"(2, 2)","(2, 2)",12,"(8, 8)","(3, 3)",0.99267,0.28088,0.88039,1,0.441,1,0.109,0
59,24,"(5, 5)","(2, 2)",12,"(2, 2)","(3, 3)",0.99725,0.46751,0.90725,1,0.495,0,0.224,0
60,24,"(5, 5)","(2, 2)",12,"(5, 5)","(3, 3)",0.99084,0.11913,0.96097,1,0.195,0,0.372,1
61,24,"(5, 5)","(2, 2)",12,"(8, 8)","(3, 3)",0.99725,0.01063,0.99696,0,0.05,0,0.236,1
62,24,"(8, 8)","(2, 2)",12,"(2, 2)","(3, 3)",0.99176,0.02894,0.99392,1,0.333,1,0.433,0
63,24,"(8, 8)","(2, 2)",12,"(5, 5)","(3, 3)",0.98443,0.21039,0.94729,1,0.034,0,0.352,1
64,24,"(8, 8)","(2, 2)",12,"(8, 8)","(3, 3)",0.99267,0.05289,0.98479,0,0.313,0,0.142,1
65,32,"(2, 2)","(2, 2)",16,"(2, 2)","(3, 3)",0.99178,0.05098,0.98429,1,0.205,1,0.082,0
66,32,"(2, 2)","(2, 2)",16,"(5, 5)","(3, 3)",0.99817,0.11011,0.95641,1,0.267,1,0.195,0
67,32,"(2, 2)","(2, 2)",16,"(8, 8)","(3, 3)",0.96422,6.95412,0.33401,1,0.285,1,0.5,0
68,32,"(5, 5)","(2, 2)",16,"(2, 2)","(3, 3)",0.99084,2.61721,0.67968,1,0.342,1,0.276,0
69,32,"(5, 5)","(2, 2)",16,"(5, 5)","(3, 3)",0.96606,2.42619,0.64217,1,0.341,1,0.372,1
70,32,"(5, 5)","(2, 2)",16,"(8, 8)","(3, 3)",0.99451,0.08007,0.97162,1,0.409,1,0.404,0
